         725212601 function calls (725086874 primitive calls) in 1232.125 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 dml.py:427(__init__)
        7    0.000    0.000    0.000    0.000 dml.py:572(__init__)
        3    0.000    0.000    0.000    0.000 dml.py:718(_extra_froms)
        7    0.000    0.000    0.000    0.000 dml.py:744(__init__)
        1    0.000    0.000    0.000    0.000 elements.py:1765(__init__)
        1    0.000    0.000    0.000    0.000 elements.py:1798(_copy_internals)
     2001    0.002    0.000    0.002    0.000 elements.py:1801(get_children)
     2005    0.044    0.000    0.065    0.000 elements.py:1804(_from_objects)
     2001    0.007    0.000    0.031    0.000 elements.py:1808(self_group)
     5016    0.073    0.000    0.238    0.000 elements.py:1839(_construct)
     5016    0.023    0.000    0.262    0.000 elements.py:1870(and_)
     2000    0.017    0.000    0.047    0.000 elements.py:1947(self_group)
     1001    0.005    0.000    0.026    0.000 elements.py:2210(literal_column)
        4    0.000    0.000    0.000    0.000 elements.py:235(_clone)
     1000    0.013    0.000    0.021    0.000 elements.py:2409(__init__)
     7030    0.005    0.000    0.005    0.000 elements.py:257(_constructor)
     1000    0.001    0.000    0.001    0.000 elements.py:2638(get_children)
     1000    0.003    0.000    0.013    0.000 elements.py:2664(self_group)
       38    0.000    0.000    0.000    0.000 elements.py:269(_cloned_set)
     7028    0.099    0.000    0.162    0.000 elements.py:2704(__init__)
     8005    0.045    0.000    0.045    0.000 elements.py:2734(_from_objects)
     1000    0.001    0.000    0.001    0.000 elements.py:2742(get_children)
    10004    0.023    0.000    0.134    0.000 elements.py:2763(self_group)
        1    0.000    0.000    0.000    0.000 elements.py:2787(__init__)
        1    0.000    0.000    0.000    0.000 elements.py:2802(_copy_internals)
        1    0.000    0.000    0.000    0.000 elements.py:2805(get_children)
        1    0.000    0.000    0.000    0.000 elements.py:2812(__getattr__)
     1009    0.009    0.000    1.087    0.001 elements.py:291(_annotate)
     1001    0.023    0.000    0.065    0.000 elements.py:3029(__init__)
     1001    0.003    0.000    0.005    0.000 elements.py:3075(type)
     1001    0.004    0.000    0.017    0.000 elements.py:3081(element)
     2002    0.001    0.000    0.001    0.000 elements.py:3102(get_children)
        1    0.000    0.000    0.001    0.001 elements.py:3105(_copy_internals)
     2002    0.005    0.000    0.026    0.000 elements.py:3115(_from_objects)
     9031    0.050    0.000    0.142    0.000 elements.py:3168(__init__)
    10456    0.041    0.000   13.686    0.001 elements.py:322(_execute_on_connection)
    23464    0.037    0.000    0.037    0.000 elements.py:3271(_get_table)
    14061    0.035    0.000    0.109    0.000 elements.py:3274(_set_table)
     2034    0.004    0.000    0.006    0.000 elements.py:3279(_from_objects)
       14    0.000    0.000    0.000    0.000 elements.py:3287(description)
       32    0.000    0.000    0.000    0.000 elements.py:3294(_key_label)
     2042    0.004    0.000    0.017    0.000 elements.py:3301(_label)
       32    0.000    0.000    0.000    0.000 elements.py:3305(_render_label_in_columns_clause)
     2042    0.007    0.000    0.012    0.000 elements.py:3309(_gen_label)
     7002    0.058    0.000    0.461    0.000 elements.py:3349(_bind_param)
     2000    0.034    0.000    0.156    0.000 elements.py:3355(_make_proxy)
    15077    0.052    0.000    0.092    0.000 elements.py:3448(__new__)
       38    0.000    0.000    0.000    0.000 elements.py:3467(_memoized_method_lower)
    10047    0.072    0.000    0.189    0.000 elements.py:3492(__new__)
    20033    0.007    0.000    0.007    0.000 elements.py:3500(apply_map)
     8005    0.080    0.000    0.210    0.000 elements.py:3603(apply_map)
     7062    0.011    0.000    0.056    0.000 elements.py:3612(_as_truncated)
     5045    0.009    0.000    0.009    0.000 elements.py:3636(_expand_cloned)
     7006    0.069    0.000    0.079    0.000 elements.py:3644(_select_iterables)
       39    0.000    0.000    0.000    0.000 elements.py:3702(_column_as_key)
    12005    0.019    0.000    0.044    0.000 elements.py:3744(_expression_literal_as_text)
    17021    0.019    0.000    0.033    0.000 elements.py:3748(_literal_as_text)
        1    0.000    0.000    0.000    0.000 elements.py:378(_copy_internals)
       38    0.000    0.000    0.000    0.000 elements.py:3782(_is_literal)
        1    0.000    0.000    0.000    0.000 elements.py:3804(_literal_as_binds)
    28033    0.047    0.000    0.121    0.000 elements.py:3818(_interpret_as_column_or_from)
        8    0.000    0.000    0.000    0.000 elements.py:3898(__init__)
     9001    0.003    0.000    0.003    0.000 elements.py:391(get_children)
     5017    0.027    0.000    4.889    0.001 elements.py:431(compile)
     5017    0.053    0.000    4.862    0.001 elements.py:496(_compiler)
    14058    0.038    0.000    0.038    0.000 elements.py:698(self_group)
     1008    0.006    0.000    0.008    0.000 elements.py:716(comparator)
     2004    0.037    0.000    0.052    0.000 elements.py:720(__getattr__)
     7028    0.029    0.000    0.996    0.000 elements.py:731(operate)
    28043    0.011    0.000    0.011    0.000 elements.py:751(_select_iterable)
    24/13    0.000    0.000    0.000    0.000 elements.py:760(proxy_set)
     1001    0.006    0.000    0.071    0.000 elements.py:840(label)
     7067    0.230    0.000    0.403    0.000 elements.py:896(__init__)
      767    0.002    0.000    0.002    0.000 error.py:6(__init__)
       44    0.000    0.000    0.000    0.000 events.py:22(__init__)
        1    0.000    0.000    0.000    0.000 events.py:37(__init__)
        1    0.000    0.000    0.000    0.000 events.py:46(__init__)
       45    0.000    0.000    0.000    0.000 events.py:5(__init__)
        1    0.000    0.000    0.000    0.000 events.py:55(__init__)
      174    0.001    0.000    0.001    0.000 events.py:65(__init__)
        2    0.000    0.000    0.000    0.000 functions.py:148(_from_objects)
        1    0.000    0.000    0.000    0.000 functions.py:152(get_children)
        1    0.000    0.000    0.000    0.000 functions.py:155(_copy_internals)
        1    0.000    0.000    0.000    0.000 functions.py:240(__init__)
        1    0.000    0.000    0.000    0.000 functions.py:244(__getattr__)
        1    0.000    0.000    0.000    0.000 functions.py:258(__call__)
        1    0.000    0.000    0.000    0.000 functions.py:483(__init__)
        1    0.000    0.000    0.000    0.000 functions.py:579(__init__)
        2    0.000    0.000    0.000    0.000 functions.py:89(clauses)
        3    0.000    0.000    0.000    0.000 genericpath.py:85(_splitext)
        2    0.000    0.000    0.000    0.000 handlers.py:146(shouldRollover)
        2    0.000    0.000    0.000    0.000 handlers.py:69(emit)
        7    0.000    0.000    0.000    0.000 identity.py:106(contains_state)
     5494    0.018    0.000    0.033    0.000 identity.py:109(replace)
        2    0.000    0.000    0.000    0.000 identity.py:14(__init__)
     2802    0.007    0.000    0.007    0.000 identity.py:140(_add_unpresent)
     2802    0.005    0.000    0.005    0.000 identity.py:145(get)
        2    0.000    0.000    0.001    0.000 identity.py:184(all_states)
